,,,
,,,
,Instituto Acende Brasil,,1500000
,"Instituto Brasileiro de Petróleo, Gás e Biocombustíveis (IBP)",,5000000
,Instituto C&A,,7500
,Instituto Hidrovias,,3400000
,Instituto Lojas Renner,,4100000
,Instituto Moreira Salles,,500000
,Instituto Serrapilheira,,1000000
,ISA CTEEP,,1500000
,Itaú,,1247100000
,JHSF,,1000000
,Kazzas,,100000
,Kinross Brasil Mineração,,2500000
,Leroy Merlin,,60000
,LCM Construção,,65000
,Light,,1500000
,Localiza,,2000000
,Luciano Huck e amigos,,1500000
,M.Dias Branco,,2400000
,Macalé,,3000
,Marfrig,,7500000
,Mars,,1000000
,Minasligas,,1000000
,Mineirão e Dahw Brasil,,240000
,Mosaic Fertilizantes,,4500000
,MR Soluções em Perfurações,,5000
,MRS,,1000000
,Natura,,38000000
,Nestlé,,7600000
,Netflix,,5000000
,Neymar,,5000000
,Nubank,,20000000
,P&G,,2700000
,Paraibuna Embalagens,,10000
,Península Participações,,300000
,PIF PAF,,585000
,Rede D'Or,,108000000
,Rede Ímpar e Rede D'Or,,4000000
,Reta Engenharia,,5000
,Reval Bombas e Válvulas,,5000
,Rubens Menin,,16000000
,Santander,,16666667
,Salum Construções,,10000
,Samarco,,1000000
,SESI-CE,,1000000
,Sindicatos - MG (vários),,1130050
,Sinduscon-MG,,3000000
,"Simecs, Randon e Marcopolo",,3000000
,Souza Cruz,,250000
,Stola,,50000
,Stone,,30000000
,Suzano,,60000000
,Unilever,,3000000
,Universidade Santo Amaro - Unisa,,100000
,Ternium,,4000000
,Thyssenkrupp Metalúrgica,,15000
,Vale,,6740000
,Vivo,,3000000
,VLI,,6000000
,Votorantim,,50000000
,Whirpool,,1300000
,XP Investimentos,,25000000
,Xuxa,,1000000
,Zurich,,5000000
,#Ação342: Apoio para Coletivos de Favelas do Rio de Janeiro,,365334
,#doeHSP,,2711673
,#SANTACASAAFAVORDAVIDA,,831860
,#Umsótime,,279818
,A favela venceu! O Coronavírus perdeu,,32073
,ABCDoe,,37634
,Abertura de Novos Leitos,,181074
,Abrace uma Causa BV,,654600
,Abrace uma Causa Pátria,,4680000
,Ação Cidadania contra o Coronavírus,,2127752
,Adote uma diarista durante o coronavírus (COVID-19),,28930
,Adote uma Favela,,43635
,Ajuda Humanitária - Coronavírus COVID-19,,583667
,Ajudar São Paulo contra o Corona Vírus,,155573
,Ajude 120 famílias com fome a evitar o Covid-19,,20525
,Ajude a CUFA a ampliar seu combate ao Coronavírus,,432257
,Ampliação do Diagnóstico,,127377
,Apoie o Hospital de Base,,55910
,Apoie o Paralelo 82,,51860
,Apoio imediato para famílias negras e periféricas - Covid19,,273885
,Aquisição de 2(dois) Ventiladores Pulmonar TAKAOKA,,10572
,Arrecadação Solidária,,85885
,As mulheres de Paraisópolis pedem sua ajuda ,,260396
,Beleza de Maãos Dadas,,34960
,Benedenses enfrentando a Covid-19,,332758
,BrazilFoundation em Ação – Juntos contra a COVID-19,,2740000
,Campanha emergencial - coronavirus,,19110
,Cestas básicas para mulheres trans e travestis,,13977
,Cestou na Liga,,47290
,Combate ao Coronavírus em Uberlândia,,83125
,Combate ao Covid -19 para famílias carentes,,10920
,Combate ao COVID-19 em Roraima ,,17280
,CombateCovid Fundaçào Amor Horizontal,,524174
,CombateCovid Morro do Papagaio,,25929
,Contra a Covid-19 é TORCIDA ÚNICA,,25070
,Corona no Paredão Fome Não,,10279600
,Costurando Solidariedade,,17236
,COVID 19 nas Favelas,,95000
,COVID-19: PRECISAMOS DA SUA AJUDA!,,21036
,Doe Possibilidades,,193220
,Dupla Ajuda,,11150
,Espalhe Cestas,,497956
,Faça sua Doação,,400719
,Família Apoia Família,,6056408
,Fiel Solidária: Auxílio a Afestados pelo COVID-19,,20895
,Força tarefa de enfrentamento à Covid-19,,14150
,Fundo de emergência para Sem-Tetos afetados pelo coronavírus,,594364
,Fundo de Impacto para Justiça Social,,603278
,Fundo Emergencial da Saúde,,4747000
,Fundo solidário Covid 19 para mães da favela,,4539368
,G10 - Apoie Aglomerado da Serra a Combater o Corona Víru ,,12076
,G10 - Apoie Heliopolis a Combater o Corona Vírus,,68293
,G10 - Apoie Rocinha - RJ a Combater o Corona Vírus,,35298
,G10 - Apoie Paraisópolis a Combater o Corona Vírus,,327998
,Gastromotiva: Fundo de emergência Covid-19,,94062
,Heliópolis contra o Coronavírus,,565965
,Instituto do Câncer Infantil: Páscoa Solidária,,17865
,Investindo pela Vida,,114474
,Ippon no Corona,,749470
,ISLA: COZINHA DE COMBATE,,68541
,Juntos na luta contra o Coronavírus,,1299935
,Juntos na luta contra o Coronavírus 2,,300260
,Juntos pelo HC-UFG contra a COVID-19,,70378
,Juntos Transformarmos,,6314108
,Leitos contra o Coronavírus - UPA Bento Gonçalves,,52227
,Marmita do Bem,,78857
,Máscaras do Bem,,8651
,Matchfunding Enfrente,,279869
,Mercado Bitcoin,,137000
,Missão COVID-19,,1556596
,Mobiliza Campinas,,5358312
,Moradores de rua SEM FOMECAMPANHAATUALIZAÇÕES6,,15545
,Movimento Supera Fortaleza,,425076
,Mulheres no Combate,,53770
,Multiplicado Solidariedade,,250440
,Na Luta contra a COVID-19,,24420000
,"Não espalhe o vírus, #EspalheSolidariedade",,111361
,Ninguém passa fome,,14530
,Nós não estamos sozinhos,,52240
,O HC precisa de você!,,1190659
,O Momento é de União,,178253
,Páscoa em Ação,,15730
,Pintar o Bem,,1004310
,Por Uma Quarentena Mais Justa,,186687
,Projeto Isolar,,82108
,Projetos e Estudos,,177832
,Quarentena Solidária,,17058
,Recitais Virtuais da Camerata Florianópolis,,15180
,Rede Nacional de Financiamento de Ações de Combate à COVID-19,,12983456
,Resgate dos Pacientes em Estado Grave,,771454
,Respiração Artificial,,147491
,Rio Contra o Corona,,7457108
,Salvando Vidas COVID 19,,7000000
,Salve a Turma do Bem,,22754
,SAS Brasil na luta contra o coronavírus,,197098
,Só Track Doa,,589700
,SO+MOS Música | Faça parte,,74300
,Social Solidário,,220196
,Solar Meninos de Luz + Você,,18918
,Solidariedade Contra o Coronavírus,,5000000
,Solidariedade em tempos de Covid-19 - CAp-UERJ,,12025
,SOS 3D Covid 19 contra o corona!,,16233
,SOS Capão Redondo contra o Coronavírus,,78568
,SOS Casa do Zezinho contra o Coronavírus,,43261
,Tech for Good,,3017576
,Todos Unidos,,736279
,Um por Todos,,6160
,Uma rede contra o vírus,,13780
,União Rio,,17606902
,União SP,,11812540
,Vem pra Guerra HC,,3134197
,Viver Fraternidade,,115330
,XôCorona,,44880
,,,
,,,
,,,
,,,
,,,162839484
,,,
,Lives,,
,Artista,,Valor Captado
,Gusttavo Lima,,100000
,Hungria,,80000
,Luccas Lucco,,240000
,Xande Avião,,320000
,Villa Mix Esperença,,250000
,Marília Mendonça,,422189
,Festival Fome de Música,,1533078
,,,2945267
,,,
,,,165784751
,,,
,Doações Recebidas - outro doadores (em processo de depuração de dados - não contabilizado no momento),,
,Comunitas (vários doadores),,24000000
,Governo do Estado de São Paulo,,367300000
,Total,,391300000
,,,
,Total Geral,,
,,,
,In dollars,,
